A1,A6,A15,A18,A25,A27,A28,A36,A47,A49,A53,A54,A62,A65,A71,A73,A76,A77,A79,A84,A88,A95,label
2.6460044,0.4334237,0.54139984,0.39818388,2.6488137,1.6219534,1.0135442,0.32495627,0.6581343,2.6417286,0.5074518,0.31643695,3.478678,0.5015311,0.61989456,2.5717053,1.018791,0.7156834,2.6604888,0.3761056,1.0186594,0.40490103,MDD
2.6582284,0.36041033,-0.44322225,0.33131647,2.593818,0.18647064,1.0307977,0.25732806,0.6445999,2.64202,0.6691582,0.28652814,3.157558,0.6894266,0.44346002,2.5887132,1.0058473,0.6377455,2.5738294,0.38780954,1.0494622,0.63358855,MDD
2.6130276,0.16319612,0.13451627,0.42640537,2.5255132,0.31732765,0.9807552,0.29708344,0.6179629,2.6148963,0.6123948,0.26600844,3.4796484,0.6797077,0.52045685,2.61107,0.96428907,0.6789448,2.60561,0.3518851,1.0222118,0.5859498,MDD
2.6832747,0.2620253,1.8385158,0.35946745,2.5355394,1.4145958,0.9734979,0.27084163,0.6256291,2.5713272,0.54531825,0.26224414,3.247726,0.4039728,0.51771146,2.5906928,1.0045679,0.61655104,2.500908,0.42929116,1.0489556,0.61654925,MDD
2.6133182,0.37894183,1.5884228,0.37545404,2.604436,0.9320891,1.003336,0.28273866,0.51177996,2.6336503,0.45772228,0.33932084,3.5231485,0.4389309,0.47546598,2.612739,0.9822487,0.5281584,2.5975075,0.39245784,1.0391157,0.37344557,MDD
2.6963723,0.296182,0.7492123,0.29095536,2.6438656,0.6481493,1.0091605,0.37997746,0.6671236,2.6438255,0.60109895,0.27998853,3.5656009,0.52036303,0.6502615,2.6129105,1.0140226,0.54925936,2.6186657,0.42969003,0.9812633,0.45363507,MDD
2.6259112,0.3346402,1.2256165,0.304026,2.6288552,0.8109488,1.0062048,0.42439145,0.49649176,2.4126198,0.5093898,0.2862155,3.6053529,0.64432406,0.3744146,2.5635045,1.0336571,0.57879704,2.6216743,0.5249401,1.0122339,0.58332926,MDD
2.6667185,0.36642033,1.3912565,0.4194515,2.569733,1.2800431,0.9961811,0.3963517,0.33332658,2.5711408,0.61874676,0.35208908,3.5022626,0.5870136,0.46365368,2.579112,0.98858166,0.65244395,2.6041574,0.37150544,0.9969514,0.72999614,MDD
2.6351612,0.33541137,0.7343782,0.37020564,2.5713983,0.944832,0.99824995,0.41624925,0.67652273,2.6504693,0.70973724,0.31338865,3.5935416,0.60487854,0.5012346,2.6264758,1.0342741,0.7494305,2.602625,0.35266778,0.9954935,0.620838,MDD
2.5370712,0.30113807,0.4682112,0.39979348,2.6151743,1.1621352,0.9854212,0.3553188,0.5519847,2.5289996,0.5920474,0.26394185,3.065898,0.67405117,0.72402894,2.6772265,1.0135436,0.65382445,2.6489208,0.37235776,1.0138729,0.6741438,MDD
2.669594,0.25052217,0.91099507,0.276961,2.628747,1.114006,1.0023772,0.33338755,0.64160573,2.6208544,0.6190048,0.34819213,3.7371454,0.60433,0.41532874,2.5814252,1.0068411,0.48303106,2.6551042,0.27122137,1.0255558,0.65264904,MDD
2.6492572,0.36514533,0.96900904,0.38704264,2.6036847,0.90298885,1.019544,0.36219049,0.52563816,2.6263063,0.5336119,0.31642488,3.1435218,0.59715456,0.6656403,2.6479034,1.0099499,0.693758,2.6433187,0.155415,0.99781835,0.6116068,MDD
2.638975,0.36651924,1.2895283,0.34358376,2.6000617,0.7293818,1.016715,0.43509617,0.52716625,2.6068633,0.49354082,0.3153422,3.467001,0.69944036,0.7093968,2.57329,1.0172015,0.73428947,2.64753,0.40572286,1.0463775,0.45937118,MDD
2.5598876,0.2893797,0.96776605,0.40796646,2.623827,1.2395744,1.0106944,0.3658232,0.46241125,2.670773,0.55334365,0.3768775,3.702203,0.63014185,0.6717284,2.6194642,1.0278072,0.56863207,2.6465447,0.2998045,1.0077718,0.6220679,MDD
2.6426864,0.42333424,0.8749327,0.31600204,2.6442564,1.0260351,1.0192668,0.3564407,0.6254534,2.6127846,0.82364255,0.33501044,3.7403238,0.70728153,0.53942156,2.6484637,1.035015,0.62865126,2.6736565,0.44191015,1.0142717,0.6874322,MDD
2.6404533,0.39318225,0.9267505,0.365103,2.633473,1.0483063,0.9973409,0.38349727,0.40056363,2.6289575,0.7518482,0.3023262,3.558274,0.49513686,0.55462617,2.6321068,1.0335723,0.68745995,2.6492,0.30036327,1.0354486,0.6796585,MDD
2.685203,0.34790656,1.1624888,0.38321188,2.6440213,1.54527,0.99896103,0.4135828,0.5518543,2.638032,0.72465473,0.3058177,3.4252305,0.7041459,0.45900714,2.5958223,1.0121292,0.5130628,2.5977917,0.46978885,1.0215703,0.5589591,MDD
2.6549115,0.3375472,1.1801525,0.37911803,2.5726192,0.91211987,0.9786113,0.342349,0.62684184,2.5325222,0.6870952,0.37165675,3.1720052,0.6326642,0.6844842,2.6601553,1.0028301,0.56497157,2.578645,0.44003376,1.0059443,0.69816726,MDD
2.6668284,0.32182094,0.7964661,0.42802858,2.6072073,1.2648349,1.0229018,0.31202134,0.45170444,2.6566184,0.37594518,0.33362564,3.5304198,0.6894123,0.7105496,2.619206,1.0516243,0.44837728,2.6011899,0.33388582,1.0020955,0.5610986,MDD
2.6356454,0.366004,1.2288415,0.3023266,2.608785,1.5356379,1.001015,0.3943415,0.52731115,2.6389909,0.6846132,0.3286121,3.6325955,0.7193827,0.58331525,2.4333673,1.0170133,0.59355253,2.606454,0.35795125,1.0002874,0.67624843,MDD
2.5748396,0.29050177,1.2439107,0.42301682,2.6177573,1.0506626,0.972735,0.2766621,0.6113135,2.6293163,0.5728218,0.19027692,3.3801591,0.591324,0.41929063,2.6484857,1.0283682,0.5195249,2.6471176,0.21124637,1.0198728,0.57588667,MDD
2.6647296,0.4319093,0.96444565,0.3526484,2.6886475,1.467194,1.0295502,0.32148275,0.5850505,2.668555,0.44481197,0.40305853,3.6245024,0.7251838,0.62123215,2.607912,1.0318956,0.5652341,2.5837474,0.3735067,1.0035458,0.43913,MDD
2.6214347,0.34301272,0.78650767,0.31894588,2.5687284,0.9348052,0.96738225,0.380955,0.63201696,2.606398,0.5506181,0.38071463,3.8678737,0.361292,0.6059093,2.621739,1.0191473,0.57412326,2.5872166,0.45632133,1.0527178,0.54144764,MDD
2.637877,0.47536603,1.2233826,0.42249045,2.6728404,1.1426716,1.0062171,0.2807657,0.58915854,2.6151063,0.63876754,0.27258483,3.6215677,0.73292553,0.80166763,2.6472948,0.9991359,0.70188165,2.6837058,0.23288961,1.0056614,0.7316531,MDD
2.6603703,0.31044456,1.1125327,0.4126889,2.621313,0.7766273,0.9987561,0.3928184,0.62702626,2.624545,0.57076037,0.26775974,3.428378,0.48821685,0.6986674,2.6637292,1.0371217,0.31346017,2.6759691,0.38901922,0.9915938,0.5879767,MDD
2.6420014,0.43104884,1.1304275,0.39937252,2.615162,1.4980881,1.0273855,0.3289644,0.65674627,2.6416726,0.65907675,0.3475336,3.3262029,0.75542647,0.626714,2.6045763,1.0225561,0.6096729,2.605144,0.35993582,1.0244762,0.72551084,MDD
2.656899,0.570768,1.3510919,0.35195145,2.5995178,0.7487092,0.9719782,0.4335289,0.29387602,2.6336305,0.6495905,0.32664075,3.328332,0.4506221,0.68715596,2.6416852,1.0041122,0.512663,2.6475618,0.3704942,1.0223714,0.6016259,MDD
2.6605139,0.32174614,0.31328884,0.30271426,2.620475,1.17938,1.0031805,0.34046474,0.5469129,2.626363,0.5696749,0.23980059,3.2473862,0.60767853,0.5630853,2.6372683,1.0414613,0.50918376,2.544477,0.42105764,1.005236,0.74618083,MDD
2.6240876,0.30260754,0.88016003,0.332434,2.6098485,0.6887768,1.0297035,0.39052853,0.5602936,2.6158066,0.49829257,0.31968394,3.6604385,0.67264605,0.5257778,2.6066403,1.0150713,0.44879112,2.6110005,0.421461,1.027693,0.59380674,MDD
2.5970354,0.3493088,1.1009152,0.34666428,2.544457,1.2607267,1.0001377,0.42896217,0.498863,2.6483312,0.6858393,0.30567893,3.6211042,0.4636027,0.6881436,2.581697,1.0248055,0.48732823,2.4943044,0.43100604,1.0364665,0.5962707,MDD
2.56685,0.33256865,0.9171786,0.37448853,2.5096512,1.1905462,0.9556191,0.26570594,0.5293769,2.5845761,0.6067543,0.24694918,3.5730853,0.43748152,0.5488721,2.5440927,0.93298525,0.4973873,2.6589437,0.3535785,0.9964294,0.68767685,MDD
